link,year,mileage,price
"/a/opel-agila-benzine-2007-49586345",2007,126033,2250
"/a/opel-agila-benzine-2007-49584834",2007,69400,2600
"/a/opel-agila-benzine-2012-49584149",2012,64467,5900
"/a/opel-agila-aardgas-2010-49583852",2010,150494,4950
"/a/opel-agila-benzine-2011-49583784",2011,47240,4940
"/a/opel-agila-benzine-2005-49583623",2005,156464,1450
"/a/opel-agila-benzine-2000-49582578",2000,115654,999
"/a/opel-agila-benzine-2010-49582345",2010,81611,3999
"/a/opel-agila-benzine-2007-49579217",2007,248814,950
"/a/opel-agila-benzine-2013-49578862",2013,22252,11450
"/a/opel-agila-benzine-2011-49578276",2011,15320,7950
"/a/opel-agila-lpg-2010-49578067",2010,100627,6750
"/a/opel-agila-benzine-2014-49577253",2014,64080,6750
"/a/opel-agila-benzine-2005-49575440",2005,230899,1250
"/a/opel-agila-benzine-2009-49574794",2009,53978,4950
"/a/opel-agila-benzine-2007-49574682",2007,52475,3750
"/a/opel-agila-benzine-2005-49574670",2005,127528,1400
"/a/opel-agila-benzine-2002-49572928",2002,122677,750
"/a/opel-agila-benzine-2013-49573295",2013,90447,6250
"/a/opel-agila-benzine-2010-49573167",2010,73013,6895
"/a/opel-agila-benzine-2003-49572899",2003,72563,1945
"/a/opel-agila-benzine-2011-49569885",2011,82090,5450
"/a/opel-agila-benzine-2010-49569095",2010,64023,5750
"/a/opel-agila-benzine-2005-49569001",2005,149525,1995
"/a/opel-agila-benzine-2012-49568955",2012,5729,9625
"/a/opel-agila-benzine-2002-49567141",2002,53154,1950
"/a/opel-agila-benzine-2004-49565421",2004,202782,750
"/a/opel-agila-benzine-2013-49564482",2013,15594,9950
"/a/opel-agila-benzine-2011-49564002",2011,119899,5450
"/a/opel-agila-benzine-2004-49563462",2004,63759,2450
"/a/opel-agila-benzine-2007-49562855",2007,39169,1950
"/a/opel-agila-benzine-2010-49561675",2010,142101,3950
"/a/opel-agila-benzine-2004-49561662",2004,72566,1640
"/a/opel-agila-benzine-2012-49561265",2012,38460,6495
"/a/opel-agila-benzine-2001-49560322",2001,243051,999
"/a/opel-agila-benzine-2008-49559446",2008,72004,3945
"/a/opel-agila-benzine-2011-49558347",2011,53606,6450
"/a/opel-agila-benzine-2004-49558155",2004,274645,1095
"/a/opel-agila-benzine-2001-49558003",2001,217000,749
"/a/opel-agila-benzine-2011-49557100",2011,92537,3950
"/a/opel-agila-benzine-2004-49556499",2004,39627,3250
"/a/opel-agila-benzine-2007-49556284",2007,146057,1499
"/a/opel-agila-benzine-2004-49555113",2004,219035,1450
"/a/opel-agila-benzine-2001-49555071",2001,94946,1495
"/a/opel-agila-benzine-2010-49553815",2010,92876,6950
"/a/opel-agila-benzine-2012-49553771",2012,134187,5250
"/a/opel-agila-benzine-2005-49553295",2005,195074,1495
"/a/opel-agila-benzine-2009-49552455",2009,166311,3750
"/a/opel-agila-benzine-2008-49552042",2008,90000,4950
"/a/opel-agila-benzine-2009-49551396",2009,47060,5250
"/a/opel-agila-benzine-2008-49550777",2008,95745,4950
"/a/opel-agila-benzine-2012-49549735",2012,43266,6845
"/a/opel-agila-benzine-2015-49547534",2015,54784,7000
"/a/opel-agila-benzine-2002-49547208",2002,97173,1250
"/a/opel-agila-benzine-2002-49545825",2002,162396,999
"/a/opel-agila-benzine-2012-49544642",2012,92060,4444
"/a/opel-agila-benzine-2003-49542306",2003,120245,999
"/a/opel-agila-benzine-2001-49539378",2001,158911,799
"/a/opel-agila-benzine-2003-49539171",2003,290575,1550
"/a/opel-agila-benzine-2008-49536895",2008,85765,3950
"/a/opel-agila-benzine-2015-49535011",2015,35138,8445
"/a/opel-agila-benzine-2009-49534547",2009,71609,5300
"/a/opel-agila-benzine-2003-49534271",2003,133141,1998
"/a/opel-agila-benzine-2008-49533834",2008,96563,3950
"/a/opel-agila-benzine-2013-49533229",2013,59543,9750
"/a/opel-agila-benzine-2001-49530293",2001,143793,799
"/a/opel-agila-benzine-2008-49530168",2008,138068,1990
"/a/opel-agila-benzine-2010-49529431",2010,125167,3999
"/a/opel-agila-benzine-2011-49524415",2011,184882,4995
"/a/opel-agila-benzine-2013-49524286",2013,73189,9850
"/a/opel-agila-benzine-2002-49523146",2002,75163,2450
"/a/opel-agila-benzine-2002-49521696",2002,188056,1250
"/a/opel-agila-benzine-2010-49516559",2010,101419,5950
"/a/opel-agila-benzine-2010-49516556",2010,66197,6950
"/a/opel-agila-benzine-2014-49511053",2014,22609,8450
"/a/opel-agila-benzine-2005-49510793",2005,51115,2500
"/a/opel-agila-benzine-2014-49509667",2014,166218,4950
"/a/opel-agila-benzine-2015-49509362",2015,33200,7750
"/a/opel-agila-benzine-2008-49505981",2008,49350,4945
"/a/opel-agila-benzine-2012-49505877",2012,53198,9450
"/a/opel-agila-benzine-2003-49505576",2003,92892,1950
"/a/opel-agila-benzine-2011-49505386",2011,156060,3950
"/a/opel-agila-benzine-2007-49504684",2007,114203,2190
"/a/opel-agila-benzine-2012-49501430",2012,43197,6425
"/a/opel-agila-benzine-2006-49500450",2006,66220,2750
"/a/opel-agila-benzine-2010-49500342",2010,74179,5840
"/a/opel-agila-benzine-2001-49498316",2001,241496,899
"/a/opel-agila-benzine-2008-49497126",2008,34517,7250
"/a/opel-agila-benzine-2014-49496571",2014,58961,7445
"/a/opel-agila-benzine-2011-49496080",2011,76176,4995
"/a/opel-agila-benzine-2007-49496045",2007,104897,2950
"/a/opel-agila-benzine-2012-49495326",2012,18342,10450
"/a/opel-agila-benzine-2012-49492487",2012,112954,5950
"/a/opel-agila-benzine-2004-49491050",2004,113403,1650
"/a/opel-agila-benzine-2014-49490340",2014,46452,8300
"/a/opel-agila-benzine-2005-49489912",2005,129995,1945
"/a/opel-agila-benzine-2002-49489106",2002,168426,499
"/a/opel-agila-benzine-2004-49488370",2004,139843,1750
"/a/opel-agila-benzine-2006-49487898",2006,100021,2650
"/a/opel-agila-benzine-2008-49487614",2008,79776,4450
"/a/opel-agila-benzine-2011-49487546",2011,72068,6399
"/a/opel-agila-benzine-2004-49483984",2004,171890,1500
"/a/opel-agila-benzine-2002-49483562",2002,205068,900
"/a/opel-agila-benzine-2003-49482394",2003,73100,1899
"/a/opel-agila-benzine-2008-49481814",2008,95421,3975
"/a/opel-agila-benzine-2000-49481131",2000,229331,995
"/a/opel-agila-benzine-2012-49479032",2012,56347,5949
"/a/opel-agila-benzine-2014-49478799",2014,73141,10385
"/a/opel-agila-benzine-2005-49477998",2005,28647,1850
"/a/opel-agila-benzine-2010-49477098",2010,163753,3495
"/a/opel-agila-benzine-2012-49475054",2012,52782,5950
"/a/opel-agila-benzine-2003-49474940",2003,122585,1750
"/a/opel-agila-benzine-2014-49474239",2014,27736,7950
"/a/opel-agila-benzine-2004-49471385",2004,178713,1500
"/a/opel-agila-benzine-2008-49469173",2008,74846,4250
"/a/opel-agila-benzine-2000-49467491",2000,197310,1295
"/a/opel-agila-benzine-2013-49462884",2013,44933,6700
"/a/opel-agila-benzine-2014-49458928",2014,67209,6925
"/a/opel-agila-benzine-2012-49458923",2012,64376,6750
"/a/opel-agila-benzine-2001-49454617",2001,183000,1995
"/a/opel-agila-benzine-2012-49443283",2012,14281,8950
"/a/opel-agila-benzine-2014-49442069",2014,24424,7450
"/a/opel-agila-benzine-2012-49441808",2012,50966,5950
"/a/opel-agila-benzine-2013-49440665",2013,167479,8950
"/a/opel-agila-benzine-2014-49439953",2014,41759,7200
"/a/opel-agila-benzine-2001-49439450",2001,143406,999
"/a/opel-agila-benzine-2005-49438477",2005,132597,2250
"/a/opel-agila-benzine-2008-49437430",2008,82468,4245
"/a/opel-agila-benzine-2001-49435907",2001,165065,1250
"/a/opel-agila-benzine-2009-49432562",2009,208336,2909
"/a/opel-agila-benzine-2005-49432121",2005,121680,1995
"/a/opel-agila-benzine-2002-49432052",2002,163765,1250
"/a/opel-agila-benzine-2009-49426606",2009,99261,3800
"/a/opel-agila-benzine-2000-49424288",2000,97539,1450
"/a/opel-agila-benzine-2013-49412511",2013,41513,7950
"/a/opel-agila-benzine-2003-49408315",2003,156653,1450
"/a/opel-agila-benzine-2014-49406097",2014,106188,6250
"/a/opel-agila-benzine-2011-49405592",2011,45779,5995
"/a/opel-agila-benzine-2012-49398118",2012,50772,9750
"/a/opel-agila-benzine-2013-49390371",2013,74914,8450
"/a/opel-agila-benzine-2014-49389969",2014,31388,10950
"/a/opel-agila-benzine-2005-49389427",2005,180347,1495
"/a/opel-agila-benzine-2001-49387058",2001,116791,650
"/a/opel-agila-benzine-2011-49375854",2011,99998,4900
"/a/opel-agila-benzine-2010-49375387",2010,83243,5950
"/a/opel-agila-benzine-2003-49372598",2003,91211,2450
"/a/opel-agila-benzine-2012-49370840",2012,97509,4945
"/a/opel-agila-benzine-2013-49368525",2013,87547,6944
"/a/opel-agila-benzine-2002-49356739",2002,204003,1445
"/a/opel-agila-benzine-2014-49327739",2014,73005,7990
"/a/opel-agila-benzine-2004-49326174",2004,165602,1750
"/a/opel-agila-benzine-2012-49317377",2012,112982,4695
"/a/opel-agila-lpg-2009-49305868",2009,111681,2998
"/a/opel-agila-benzine-2012-49305512",2012,73022,5925
"/a/opel-agila-benzine-2011-49305429",2011,39670,9450
"/a/opel-agila-benzine-2001-41924494",2001,91000,1750
"/a/opel-agila-benzine-2010-49286729",2010,92524,5940
"/a/opel-agila-benzine-2006-49285454",2006,144286,2498
"/a/opel-agila-benzine-2011-49285354",2011,78277,4450
"/a/opel-agila-benzine-2015-49284904",2015,37414,8945
"/a/opel-agila-benzine-2002-49284070",2002,133791,1475
"/a/opel-agila-benzine-2011-49284011",2011,43815,8950
"/a/opel-agila-benzine-2001-49265480",2001,245549,1350
"/a/opel-agila-benzine-2004-49264620",2004,84450,1450
"/a/opel-agila-benzine-2011-49264554",2011,99227,4945
"/a/opel-agila-benzine-2011-49261072",2011,49568,6450
"/a/opel-agila-benzine-2008-49252686",2008,63732,5750
"/a/opel-agila-benzine-2012-49250658",2012,94403,4950
"/a/opel-agila-benzine-2003-49249874",2003,183872,1950
"/a/opel-agila-benzine-2008-49245178",2008,119320,3499
"/a/opel-agila-benzine-2013-49243551",2013,65060,10400
"/a/opel-agila-benzine-2010-49242235",2010,91840,4950
"/a/opel-agila-benzine-2009-49235068",2009,170163,3950
"/a/opel-agila-benzine-2014-49230341",2014,41877,6700
"/a/opel-agila-benzine-2003-49229900",2003,69527,1495
"/a/opel-agila-benzine-2012-49226737",2012,94290,3950
"/a/opel-agila-benzine-2002-49207733",2002,116290,799
"/a/opel-agila-benzine-2014-49207194",2014,18703,12495
"/a/opel-agila-benzine-2015-49205682",2015,89273,7440
"/a/opel-agila-benzine-2010-49199800",2010,45712,8250
"/a/opel-agila-benzine-2011-49199128",2011,101877,7495
"/a/opel-agila-lpg-2010-49195623",2010,222621,2999
"/a/opel-agila-benzine-2013-49191558",2013,51864,7150
"/a/opel-agila-benzine-2005-49191232",2005,57632,2950
"/a/opel-agila-benzine-2011-49190697",2011,91110,3995
"/a/opel-agila-benzine-2015-49190613",2015,44269,8925
"/a/opel-agila-benzine-2003-49189961",2003,99017,1495
"/a/opel-agila-benzine-2010-49185039",2010,98221,5925
"/a/opel-agila-benzine-2011-49181422",2011,64236,4944
"/a/opel-agila-benzine-2012-49171984",2012,24343,8740
"/a/opel-agila-benzine-2013-49167704",2013,34814,11250
"/a/opel-agila-benzine-2012-49166719",2012,52277,6245
"/a/opel-agila-benzine-2012-49162813",2012,132660,4950
"/a/opel-agila-benzine-2009-49159066",2009,29323,7899
"/a/opel-agila-benzine-2006-49152120",2006,119027,2945
"/a/opel-agila-benzine-2014-49146766",2014,10437,11900
"/a/opel-agila-benzine-2011-49146446",2011,42270,8949
"/a/opel-agila-benzine-2011-49133291",2011,121000,5750
"/a/opel-agila-benzine-2013-49122825",2013,75156,9950
"/a/opel-agila-benzine-2010-49121653",2010,77930,8441
"/a/opel-agila-benzine-2011-49114512",2011,118339,5495
"/a/opel-agila-benzine-2010-49113665",2010,117163,5250
"/a/opel-agila-benzine-2011-49109477",2011,80981,6950
"/a/opel-agila-benzine-2014-49105514",2014,21422,8925
"/a/opel-agila-benzine-2011-49103040",2011,58805,8870
"/a/opel-agila-benzine-2009-49102604",2009,54755,6950
"/a/opel-agila-benzine-2014-49088051",2014,44566,6740
"/a/opel-agila-benzine-2007-49087892",2007,90995,3988
"/a/opel-agila-benzine-2009-49085477",2009,72548,5350
"/a/opel-agila-benzine-2008-49083131",2008,95803,4950
"/a/opel-agila-benzine-2014-49082789",2014,92776,8250
"/a/opel-agila-benzine-2010-49081445",2010,102694,6500
"/a/opel-agila-benzine-2010-49080397",2010,39666,6250
"/a/opel-agila-benzine-2010-49071962",2010,173256,2995
"/a/opel-agila-benzine-2011-49068969",2011,83218,6440
"/a/opel-agila-benzine-2012-49067577",2012,39369,10450
"/a/opel-agila-benzine-2013-49047417",2013,89394,6350
"/a/opel-agila-benzine-2001-49046368",2001,162703,1450
"/a/opel-agila-benzine-2009-49043595",2009,97437,5999
"/a/opel-agila-benzine-2008-49041416",2008,52228,5950
"/a/opel-agila-benzine-2011-49025311",2011,52060,7450
"/a/opel-agila-benzine-2008-49019847",2008,70690,4749
"/a/opel-agila-benzine-2002-49013923",2002,124267,999
"/a/opel-agila-benzine-2006-49013423",2006,96495,3250
"/a/opel-agila-benzine-2006-49011404",2006,165607,1749
"/a/opel-agila-benzine-2013-49007353",2013,38316,6750
"/a/opel-agila-benzine-2009-49001567",2009,137645,3975
"/a/opel-agila-benzine-2005-48997192",2005,99798,2490
"/a/opel-agila-benzine-2008-48995151",2008,89288,4750
"/a/opel-agila-benzine-2009-48991174",2009,78001,6200
"/a/opel-agila-benzine-2013-48981419",2013,148175,5495
"/a/opel-agila-benzine-2003-48977532",2003,153675,1295
"/a/opel-agila-benzine-2006-48968301",2006,43452,2250
"/a/opel-agila-benzine-2012-48963605",2012,131814,5950
"/a/opel-agila-benzine-2011-48961829",2011,71279,6950
"/a/opel-agila-benzine-2009-48961778",2009,62728,4950
"/a/opel-agila-benzine-2011-48960632",2011,25793,7445
"/a/opel-agila-benzine-2004-48931548",2004,35321,1950
"/a/opel-agila-benzine-2003-48929636",2003,149944,1950
"/a/opel-agila-benzine-2006-48928962",2006,82442,2950
"/a/opel-agila-benzine-2007-48925095",2007,97023,3445
"/a/opel-agila-benzine-2008-48917042",2008,121097,4900
"/a/opel-agila-benzine-2008-48916506",2008,92118,6950
"/a/opel-agila-benzine-2006-48908554",2006,115234,2295
"/a/opel-agila-benzine-2002-48889087",2002,89881,2450
"/a/opel-agila-benzine-2011-48879290",2011,39843,6750
"/a/opel-agila-benzine-2001-48877221",2001,109062,1050
"/a/opel-agila-benzine-2010-48876869",2010,75928,5940
"/a/opel-agila-benzine-2009-48850814",2009,91831,5450
"/a/opel-agila-benzine-2011-48839310",2011,82530,3750
"/a/opel-agila-benzine-2011-48836737",2011,90935,5944
"/a/opel-agila-benzine-2011-48833695",2011,25911,6950
"/a/opel-agila-lpg-2010-48827650",2010,140300,3995
"/a/opel-agila-benzine-2011-48821136",2011,14834,5950
"/a/opel-agila-benzine-2006-48817431",2006,62174,2450
"/a/opel-agila-benzine-2008-48795361",2008,71987,7925
"/a/opel-agila-benzine-2001-48786458",2001,217944,950
"/a/opel-agila-benzine-2011-48783044",2011,56576,5750
"/a/opel-agila-benzine-2006-48776156",2006,103932,2895
"/a/opel-agila-benzine-2011-48774571",2011,59670,5475
"/a/opel-agila-benzine-2011-48772791",2011,145952,4950
"/a/opel-agila-benzine-2008-48755402",2008,152862,1999
"/a/opel-agila-benzine-2011-48735990",2011,53249,5700
"/a/opel-agila-benzine-2013-48722042",2013,53349,9888
"/a/opel-agila-benzine-2012-48721516",2012,86654,5950
"/a/opel-agila-benzine-2011-48718405",2011,50017,5450
"/a/opel-agila-benzine-2010-48717760",2010,213695,2495
"/a/opel-agila-benzine-2008-48717227",2008,122884,4299
"/a/opel-agila-benzine-2014-48715469",2014,51610,7950
"/a/opel-agila-benzine-2015-48700164",2015,64929,8950
"/a/opel-agila-benzine-2010-48695772",2010,91746,4888
"/a/opel-agila-benzine-2012-48691146",2012,28842,6750
"/a/opel-agila-benzine-2010-48685381",2010,22147,8950
"/a/opel-agila-benzine-2005-48677490",2005,142919,1295
"/a/opel-agila-benzine-2007-48674889",2007,164720,3250
"/a/opel-agila-benzine-2009-48666793",2009,98669,7450
"/a/opel-agila-benzine-2010-48651370",2010,49953,5440
"/a/opel-agila-benzine-2012-48646499",2012,58723,5950
"/a/opel-agila-benzine-2008-48645411",2008,101317,4850
"/a/opel-agila-benzine-2011-48631819",2011,72260,5500
"/a/opel-agila-benzine-2013-48629310",2013,74573,6300
"/a/opel-agila-benzine-2012-48626911",2012,77295,6250
"/a/opel-agila-benzine-2001-48623418",2001,193881,1250
"/a/opel-agila-benzine-2005-48620142",2005,116066,2699
"/a/opel-agila-benzine-2013-48614329",2013,77132,6750
"/a/opel-agila-benzine-2004-48592261",2004,65375,2750
"/a/opel-agila-benzine-2012-48585402",2012,113374,5400
"/a/opel-agila-benzine-2011-48579412",2011,127316,4900
"/a/opel-agila-benzine-2009-48575586",2009,102692,4550
"/a/opel-agila-benzine-2005-48575268",2005,113498,1749
"/a/opel-agila-benzine-2010-48556387",2010,102734,4450
"/a/opel-agila-benzine-2010-48520389",2010,135288,6250
"/a/opel-agila-benzine-2013-48517952",2013,37992,7600
"/a/opel-agila-benzine-2011-48498341",2011,67788,4750
"/a/opel-agila-benzine-2010-48492670",2010,118458,4350
"/a/opel-agila-benzine-2015-48471538",2015,32938,7895
"/a/opel-agila-benzine-2003-48463137",2003,110811,1499
"/a/opel-agila-benzine-2011-48463006",2011,110024,5950
"/a/opel-agila-lpg-2010-48409635",2010,212344,3999
"/a/opel-agila-benzine-2011-48403119",2011,73141,5944
"/a/opel-agila-benzine-2013-48395770",2013,50381,6700
"/a/opel-agila-benzine-2009-48369195",2009,114999,3495
"/a/opel-agila-benzine-2011-48346098",2011,63669,6400
"/a/opel-agila-benzine-2010-48339196",2010,96571,5445
"/a/opel-agila-benzine-2004-48332442",2004,138410,1699
"/a/opel-agila-benzine-2002-48330700",2002,175202,1445
"/a/opel-agila-benzine-2010-48330678",2010,102840,5400
"/a/opel-agila-benzine-2012-48328226",2012,14077,6445
"/a/opel-agila-benzine-2011-48314749",2011,116098,5440
"/a/opel-agila-benzine-2005-48312281",2005,144949,1995
"/a/opel-agila-benzine-2014-48271099",2014,123984,6900
"/a/opel-agila-benzine-2001-48266148",2001,102424,1450
"/a/opel-agila-benzine-2012-48265810",2012,81212,6350
"/a/opel-agila-benzine-2003-48256732",2003,139825,1450
"/a/opel-agila-benzine-2014-48244696",2014,65241,7900
"/a/opel-agila-benzine-2014-48244270",2014,77083,7900
"/a/opel-agila-benzine-2013-48243518",2013,59979,8425
"/a/opel-agila-benzine-2005-48233663",2005,77456,2345
"/a/opel-agila-benzine-2012-48218307",2012,78417,6900
"/a/opel-agila-benzine-2001-48216123",2001,152082,1499
"/a/opel-agila-benzine-2008-48205550",2008,119897,6249
"/a/opel-agila-benzine-2011-48190084",2011,159995,6195
"/a/opel-agila-benzine-2008-48173853",2008,89813,4650
"/a/opel-agila-benzine-2009-48141546",2009,134308,3900
"/a/opel-agila-benzine-2009-48141289",2009,173208,4350
"/a/opel-agila-benzine-2014-48136481",2014,74336,6945
"/a/opel-agila-benzine-2014-48134654",2014,64330,7925
"/a/opel-agila-benzine-2002-48119168",2002,201147,1650
"/a/opel-agila-benzine-2007-48112808",2007,163101,3850
"/a/opel-agila-benzine-2008-48110652",2008,161646,3950
"/a/opel-agila-benzine-2001-48104978",2001,193563,850
"/a/opel-agila-benzine-2002-48075675",2002,125843,3250
"/a/opel-agila-benzine-2012-48039531",2012,41968,6450
"/a/opel-agila-benzine-2015-48020797",2015,36313,8750
"/a/opel-agila-benzine-2009-47970518",2009,78962,4950
"/a/opel-agila-benzine-2010-47961731",2010,62857,5850
"/a/opel-agila-benzine-2012-47928634",2012,62239,6245
"/a/opel-agila-benzine-2012-47881864",2012,110575,4495
"/a/opel-agila-benzine-2013-47875747",2013,66672,7450
"/a/opel-agila-benzine-2011-47787567",2011,44552,6900
"/a/opel-agila-benzine-2012-47743279",2012,59422,6495
"/a/opel-agila-benzine-2012-47711310",2012,126914,5700
"/a/opel-agila-benzine-2011-47693401",2011,74418,4950
"/a/opel-agila-benzine-2011-47672779",2011,17694,10495
"/a/opel-agila-benzine-2014-47668969",2014,58816,6900
"/a/opel-agila-benzine-2008-47666832",2008,90204,4950
"/a/opel-agila-benzine-2013-47660124",2013,110480,5450
"/a/opel-agila-benzine-2010-47636343",2010,72764,5950
"/a/opel-agila-benzine-2012-47621872",2012,39774,6795
"/a/opel-agila-benzine-2010-47617705",2010,111636,4399
"/a/opel-agila-benzine-2012-47597560",2012,73144,6950
"/a/opel-agila-benzine-2008-47578222",2008,140607,3644
"/a/opel-agila-benzine-2008-47508863",2008,146578,4450
"/a/opel-agila-benzine-2011-47493922",2011,45072,5995
"/a/opel-agila-benzine-2001-47479917",2001,122273,1144
"/a/opel-agila-benzine-2006-47466029",2006,181877,2250
"/a/opel-agila-benzine-2014-47463943",2014,71137,5940
"/a/opel-agila-benzine-2014-47455932",2014,94587,6950
"/a/opel-agila-benzine-2008-47314824",2008,56283,6850
"/a/opel-agila-benzine-2011-47279023",2011,121481,5725
"/a/opel-agila-benzine-2010-47240749",2010,74305,5400
"/a/opel-agila-benzine-2014-47182540",2014,91338,6950
"/a/opel-agila-benzine-2010-47180492",2010,74370,4450
"/a/opel-agila-benzine-2008-47006166",2008,176088,3850
"/a/opel-agila-benzine-2001-46989930",2001,130883,1450
"/a/opel-agila-benzine-2009-46968882",2009,131186,5249
"/a/opel-agila-benzine-2011-46923346",2011,113982,3944
"/a/opel-agila-benzine-2014-46915637",2014,84730,5100
"/a/opel-agila-benzine-2014-46888256",2014,14412,11750
"/a/opel-agila-benzine-2012-46819223",2012,67207,5250
"/a/opel-agila-benzine-2011-46772564",2011,111450,6250
"/a/opel-agila-benzine-2013-46713255",2013,57275,8045
"/a/opel-agila-benzine-2001-46699909",2001,95509,1940
"/a/opel-agila-benzine-2001-46682413",2001,155620,1450
"/a/opel-agila-benzine-2009-46673032",2009,59619,4999
"/a/opel-agila-benzine-2013-46660101",2013,31882,10750
"/a/opel-agila-benzine-2012-46630135",2012,38459,6950
"/a/opel-agila-benzine-2002-46623594",2002,116848,2500
"/a/opel-agila-benzine-2004-46618460",2004,73996,2350
"/a/opel-agila-benzine-2005-46604239",2005,95718,2499
"/a/opel-agila-benzine-2011-46593050",2011,138717,3500
"/a/opel-agila-benzine-2009-46554284",2009,98327,7490
"/a/opel-agila-benzine-2011-46546563",2011,30217,5950
"/a/opel-agila-benzine-2012-46482001",2012,73337,5950
"/a/opel-agila-benzine-2005-46415109",2005,134961,1749
"/a/opel-agila-benzine-2011-46398387",2011,129264,5950
"/a/opel-agila-benzine-2012-46266509",2012,71325,5995
"/a/opel-agila-benzine-2011-46266343",2011,52352,9250
"/a/opel-agila-benzine-2008-46258864",2008,93098,3945
"/a/opel-agila-benzine-2002-46223246",2002,116584,1499
"/a/opel-agila-benzine-2011-46150484",2011,87724,5750
"/a/opel-agila-benzine-2011-46128619",2011,69707,5250
"/a/opel-agila-benzine-2004-46092815",2004,166225,2750
"/a/opel-agila-benzine-2003-46078521",2003,214561,1295
"/a/opel-agila-benzine-2008-45971865",2008,163188,3950
"/a/opel-agila-benzine-2002-45931653",2002,164987,1495
"/a/opel-agila-benzine-2008-45923979",2008,159225,4850
"/a/opel-agila-benzine-2011-45773800",2011,183589,4450
"/a/opel-agila-benzine-2011-45733929",2011,61876,5900
"/a/opel-agila-benzine-2002-45609514",2002,140811,1395
"/a/opel-agila-benzine-2000-45534403",2000,192693,1250
"/a/opel-agila-benzine-2006-45504801",2006,201014,1940
"/a/opel-agila-benzine-2008-45440127",2008,83715,4975
"/a/opel-agila-benzine-2010-45404018",2010,123177,5450
"/a/opel-agila-benzine-2014-45303896",2014,81674,5980
"/a/opel-agila-benzine-2010-45292563",2010,89458,5499
"/a/opel-agila-benzine-2005-44832263",2005,125193,3450
"/a/opel-agila-benzine-2012-44762420",2012,137812,6995
"/a/opel-agila-benzine-2001-44688340",2001,176462,1450
"/a/opel-agila-benzine-2011-44478922",2011,37010,5450
"/a/opel-agila-benzine-2011-44452639",2011,58688,9950
"/a/opel-agila-benzine-2003-44326022",2003,166610,1950
"/a/opel-agila-benzine-2012-44195182",2012,90820,6900
"/a/opel-agila-benzine-2014-44081692",2014,50000,7950
"/a/opel-agila-benzine-2008-44051553",2008,95172,4495
"/a/opel-agila-benzine-2008-44030582",2008,150191,3950
"/a/opel-agila-benzine-2011-44009777",2011,150426,4495
"/a/opel-agila-benzine-2003-43959799",2003,115618,1995
"/a/opel-agila-benzine-2013-43894527",2013,81306,7495
"/a/opel-agila-benzine-2002-43884007",2002,168565,1450
"/a/opel-agila-benzine-2008-43749011",2008,152936,3949
"/a/opel-agila-benzine-2000-43626476",2000,220607,1150
"/a/opel-agila-benzine-2008-43527975",2008,115334,4950
"/a/opel-agila-benzine-2007-43459325",2007,209500,1995
"/a/opel-agila-benzine-2013-43309585",2013,35445,12950
"/a/opel-agila-benzine-2005-43160729",2005,103148,2450
"/a/opel-agila-benzine-2005-42895950",2005,102895,2435
"/a/opel-agila-benzine-2008-42838094",2008,120856,3950
"/a/opel-agila-benzine-2005-42717576",2005,161764,1595
"/a/opel-agila-benzine-2005-42532616",2005,136364,2250
"/a/opel-agila-benzine-2003-42119887",2003,179138,1650
"/a/opel-agila-benzine-2001-41019369",2001,129824,1250
"/a/opel-agila-benzine-2002-40690766",2002,153555,1950
"/a/opel-agila-benzine-2004-40566754",2004,118440,2450
"/a/opel-agila-benzine-2002-40160631",2002,122321,2300
"/a/opel-agila-benzine-2005-39424739",2005,31853,3500
"/a/opel-agila-benzine-2013-36262664",2013,19977,12950
"/a/opel-agila-benzine-2003-34246221",2003,172533,2345
"/a/opel-agila-benzine-2008-34110484",2008,85535,4750
"/a/opel-agila-benzine-2015-30700703",2015,39000,9950
